Timestamp,GPS16_L1PR,GPS16_L2PR,GPS16_EAST,GPS16_NORTH,GPS16_UP,GPS22_L1PR,GPS22_L2PR,GPS22_EAST,GPS22_NORTH,GPS22_UP,GPS9_L1PR,GPS9_L2PR,GPS9_EAST,GPS9_NORTH,GPS9_UP,GPS4_L1PR,GPS4_L2PR,GPS4_EAST,GPS4_NORTH,GPS4_UP,GPS31_L1PR,GPS31_L2PR,GPS31_EAST,GPS31_NORTH,GPS31_UP,GPS26_L1PR,GPS26_L2PR,GPS26_EAST,GPS26_NORTH,GPS26_UP,GPS3_L1PR,GPS3_L2PR,GPS3_EAST,GPS3_NORTH,GPS3_UP,TRUTH_EAST,TRUTH_NORTH,TRUTH_UP
350893,19896781.1,19896781.21,-55437.35925,-5058501.599,19370573.05,23314350.78,23314350.89,-11678080.28,-18035239.73,9363961.646,23491045.15,23491045.84,-16299542.17,14961679.73,8253437.576,20848212.75,20848214.01,-8346505.559,7626846.172,17662932.55,23012778.66,23012779.59,19600715.66,6044561.642,10703344.49,20670159.28,20670159.67,8590410.923,6278150.148,17865192.49,22191529.07,22191530.4,-14148401.44,-11067403.78,13239888.43,-4.671486146,15.86974117,-4.939961907
350894,19896595.97,19896596.13,-54611.93877,-5055544.823,19371154.56,23314904.74,23314904.72,-11677511.66,-18037435.11,9361825.023,23490416.97,23490417.13,-16298192.01,14960880.47,8255751.183,20847849.38,20847850.65,-8344901.717,7624883.362,17664104.7,23013274.84,23013275.83,19602660.94,6043078.596,10701689.16,20670505.4,20670505.77,8591800.915,6280343.51,17864154.38,22191990.1,22191991.42,-14148412.65,-11070184.08,13238326.77,-4.657404344,15.86801763,-4.943375748
350895,19896410.97,19896411.14,-53786.30957,-5052588.088,19371735.69,23315458.7,23315458.72,-11676942.82,-18039630.24,9359688.229,23489788.86,23489789.49,-16296841.93,14960080.77,8258064.636,20847486.09,20847487.33,-8343298.056,7622920.195,17665276.57,23013771.1,23013772.05,19604605.97,6041595.212,10700033.73,20670851.6,20670851.98,8593191.088,6282536.558,17863115.97,22192451.26,22192452.5,-14148423.72,-11072964.22,13236764.78,-4.644944627,15.85063104,-4.932231908
350896,19896226.12,19896226.31,-52960.47162,-5049631.397,19372316.44,23316012.72,23316012.96,-11676373.75,-18041825.12,9357551.266,23489160.72,23489161.44,-16295491.93,14959280.61,8260377.937,20847122.86,20847124.19,-8341694.575,7620956.671,17666448.16,23014267.4,23014268.57,19606550.75,6040111.491,10698378.2,20671197.94,20671198.34,8594581.441,6284729.294,17862077.25,22192912.5,22192913.71,-14148434.65,-11075744.19,13235202.47,-4.634471764,15.84258158,-4.938887536
350897,19896041.3,19896041.49,-52134.42488,-5046674.747,19372896.81,23316566.67,23316566.89,-11675804.47,-18044019.75,9355414.132,23488532.6,23488533.22,-16294141.99,14958480.01,8262691.084,20846759.62,20846761,-8340091.274,7618992.791,17667619.48,23014763.59,23014765.05,19608495.26,6038627.431,10696722.58,20671544.23,20671544.62,8595971.975,6286921.716,17861038.23,22193373.68,22193374.97,-14148445.44,-11078524.01,13233639.83,-4.623600795,15.83670099,-4.953436359
350898,19895856.6,19895856.86,-51308.16934,-5043718.14,19373476.8,23317120.64,23317120.86,-11675234.96,-18046214.13,9353276.828,23487904.52,23487904.85,-16292792.13,14957678.95,8265004.078,20846396.51,20846397.84,-8338488.154,7617028.555,17668790.53,23015259.91,23015261.36,19610439.52,6037143.034,10695066.85,20671890.65,20671891.02,8597362.69,6289113.826,17859998.9,22193835,22193836.27,-14148456.08,-11081303.67,13232076.87,-4.613667441,15.83871967,-4.947894002
350899,19895672.08,19895672.34,-50481.70498,-5040761.576,19374056.41,23317674.71,23317674.87,-11674665.23,-18048408.27,9351139.354,23487276.52,23487276.32,-16291442.34,14956877.44,8267316.919,20846033.5,20846034.76,-8336885.215,7615063.962,17669961.3,23015756.35,23015758.08,19612383.52,6035658.299,10693411.02,20672237.17,20672237.54,8598753.586,6291305.622,17858959.27,22194296.45,22194297.68,-14148466.58,-11084083.16,13230513.58,-4.594364054,15.82991767,-4.940595711
350900,19895487.67,19895487.9,-49655.03176,-5037805.054,19374635.64,23318228.74,23318229.1,-11674095.28,-18050602.15,9349001.711,23486648.36,23486648.14,-16290092.62,14956075.48,8269629.607,20845670.53,20845671.74,-8335282.456,7613099.012,17671131.8,23016252.72,23016254.54,19614327.26,6034173.227,10691755.09,20672583.76,20672584.13,8600144.662,6293497.104,17857919.34,22194757.91,22194759.15,-14148476.93,-11086862.49,13228949.96,-4.593399831,15.82179038,-4.946353173
350901,19895303.36,19895303.62,-48828.14966,-5034848.576,19375214.49,23318782.85,23318783.12,-11673525.11,-18052795.79,9346863.897,23486020.28,23486019.92,-16288742.98,14955273.07,8271942.141,20845307.63,20845308.83,-8333679.878,7611133.706,17672302.03,23016749.18,23016751.22,19616270.74,6032687.817,10690099.06,20672930.42,20672930.84,8601535.92,6295688.274,17856879.11,22195219.53,22195220.67,-14148487.14,-11089641.67,13227386.03,-4.587411682,15.81121538,-4.944334179
350902,19895119.21,19895119.44,-48001.05865,-5031892.14,19375792.96,23319336.98,23319337.4,-11672954.71,-18054989.18,9344725.914,23485392.21,23485391.68,-16287393.41,14954470.21,8274254.521,20844944.83,20844946,-8332077.48,7609168.045,17673471.98,23017245.4,23017247.83,19618213.97,6031202.07,10688442.93,20673277.2,20673277.58,8602927.357,6297879.13,17855838.57,22195681.16,22195682.39,-14148497.21,-11092420.68,13225821.76,-4.587935561,15.81722226,-4.933451447
