SAT 1,SAT 2,SAT 3,SAT 4,SAT 5
5.000,5.000,5.000,5.000,5.000
4.600,4.913,4.685,4.693,4.782
3.664,4.471,3.928,4.052,4.142
2.322,3.483,2.828,3.239,2.996
0.932,2.329,1.693,2.434,1.713
-0.016,1.486,0.920,1.901,0.795
-0.335,1.137,0.660,1.741,0.442
-0.205,1.172,0.765,1.837,0.510
0.100,1.388,1.015,2.025,0.765
0.403,1.636,1.263,2.201,1.041
0.629,1.841,1.448,2.327,1.262
0.765,1.977,1.559,2.399,1.403
0.825,2.046,1.608,2.428,1.473
0.830,2.064,1.612,2.427,1.488
0.802,2.047,1.589,2.409,1.467
0.759,2.013,1.553,2.384,1.429
0.712,1.972,1.514,2.357,1.385
0.669,1.934,1.480,2.333,1.343
0.635,1.902,1.452,2.314,1.309
0.609,1.879,1.431,2.300,1.283
0.592,1.862,1.417,2.290,1.266
0.581,1.852,1.408,2.284,1.255
0.575,1.847,1.403,2.281,1.249
0.572,1.844,1.401,2.279,1.246
0.571,1.843,1.400,2.279,1.245
0.572,1.844,1.400,2.279,1.246
0.572,1.845,1.401,2.279,1.246
0.573,1.845,1.402,2.280,1.247
0.574,1.846,1.402,2.280,1.248
0.574,1.846,1.402,2.280,1.248
0.574,1.846,1.402,2.280,1.248
0.574,1.846,1.402,2.280,1.248
0.574,1.846,1.402,2.280,1.248
0.573,1.846,1.402,2.280,1.248
0.573,1.846,1.401,2.280,1.247
0.573,1.845,1.401,2.279,1.247
0.572,1.845,1.401,2.279,1.247
0.572,1.845,1.400,2.279,1.246
0.571,1.844,1.400,2.279,1.246
0.571,1.844,1.400,2.278,1.246
0.571,1.844,1.400,2.278,1.245
0.570,1.844,1.399,2.278,1.245
0.570,1.843,1.399,2.278,1.245
0.570,1.843,1.399,2.278,1.244
0.569,1.843,1.399,2.277,1.244
0.569,1.843,1.398,2.277,1.244
0.569,1.842,1.398,2.277,1.244
0.569,1.842,1.398,2.277,1.243
0.568,1.842,1.398,2.277,1.243
0.568,1.842,1.398,2.277,1.243
0.568,1.842,1.397,2.277,1.243
0.568,1.841,1.397,2.277,1.243
0.568,1.841,1.397,2.276,1.242
0.567,1.841,1.397,2.276,1.242
0.567,1.841,1.397,2.276,1.242
0.567,1.841,1.397,2.276,1.242
0.567,1.841,1.396,2.276,1.242
0.567,1.841,1.396,2.276,1.242
0.566,1.840,1.396,2.276,1.241
0.566,1.840,1.396,2.276,1.241
0.566,1.840,1.396,2.276,1.241
0.566,1.840,1.396,2.275,1.241
0.566,1.840,1.396,2.275,1.241
0.566,1.840,1.396,2.275,1.241
0.566,1.840,1.395,2.275,1.241
0.565,1.840,1.395,2.275,1.241
0.565,1.840,1.395,2.275,1.240
0.565,1.839,1.395,2.275,1.240
0.565,1.839,1.395,2.275,1.240
0.565,1.839,1.395,2.275,1.240
0.565,1.839,1.395,2.275,1.240
0.565,1.839,1.395,2.275,1.240
0.565,1.839,1.395,2.275,1.240
0.564,1.839,1.395,2.275,1.240
0.564,1.839,1.395,2.275,1.240
0.564,1.839,1.394,2.274,1.240
0.564,1.839,1.394,2.274,1.240
0.564,1.839,1.394,2.274,1.239
0.564,1.839,1.394,2.274,1.239
0.564,1.838,1.394,2.274,1.239
0.564,1.838,1.394,2.274,1.239
0.564,1.838,1.394,2.274,1.239
0.564,1.838,1.394,2.274,1.239
0.564,1.838,1.394,2.274,1.239
0.564,1.838,1.394,2.274,1.239
0.564,1.838,1.394,2.274,1.239
0.563,1.838,1.394,2.274,1.239
0.563,1.838,1.394,2.274,1.239
0.563,1.838,1.394,2.274,1.239
0.563,1.838,1.394,2.274,1.239
0.563,1.838,1.394,2.274,1.239
0.563,1.838,1.394,2.274,1.239
0.563,1.838,1.393,2.274,1.239
0.563,1.838,1.393,2.274,1.238
0.563,1.838,1.393,2.274,1.238
0.563,1.838,1.393,2.274,1.238
0.563,1.838,1.393,2.274,1.238
0.563,1.838,1.393,2.274,1.238
0.563,1.838,1.393,2.274,1.238
0.563,1.838,1.393,2.274,1.238
